epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8738,2.44439,4.66919,1.95127,0.6975,0.69619,0.72357,0.50446,2.18346,1.75251,1.86792,0.000369587,0.000369587,0.000369587
2,106.955,2.51991,2.04235,2.02441,0.77251,0.80021,0.82813,0.55531,2.24589,1.61286,1.94674,0.000739739,0.000739739,0.000739739
3,158.692,2.46764,1.79188,2.03512,0.77777,0.8291,0.84027,0.57651,2.19649,1.33982,1.95816,0.00110917,0.00110917,0.00110917
4,210.233,2.44178,1.62961,2.04674,0.77209,0.84067,0.84828,0.5835,2.20231,1.33326,1.98492,0.00110856,0.00110856,0.00110856
5,261.953,2.38011,1.49911,2.05175,0.80138,0.81443,0.84072,0.60505,2.14805,1.30794,1.97774,0.00110666,0.00110666,0.00110666
6,313.706,2.38191,1.45104,2.05944,0.8489,0.82565,0.86571,0.61328,2.11797,1.25096,1.94614,0.00110423,0.00110423,0.00110423
7,365.201,2.35902,1.40394,2.05157,0.81866,0.84068,0.89562,0.65869,1.95416,1.13585,1.98012,0.00110126,0.00110126,0.00110126
8,416.552,2.32768,1.39285,2.04608,0.78338,0.87513,0.87899,0.63692,2.06692,1.23797,1.98644,0.00109776,0.00109776,0.00109776
9,468.286,2.29493,1.29154,2.04188,0.80936,0.88345,0.88724,0.62772,2.12419,1.09963,1.98281,0.00109372,0.00109372,0.00109372
10,520.057,2.28708,1.2539,2.04593,0.87545,0.9007,0.93598,0.66112,2.11317,1.04073,1.9879,0.00108916,0.00108916,0.00108916
11,572.108,2.25386,1.25253,2.01991,0.86343,0.90979,0.92028,0.67215,2.01692,1.05282,2.0024,0.00108408,0.00108408,0.00108408
12,624.205,2.24798,1.22805,2.0219,0.78144,0.86997,0.84682,0.63373,1.93914,1.17757,1.94311,0.00107849,0.00107849,0.00107849
13,675.121,2.21578,1.16274,2.01521,0.85771,0.89533,0.92136,0.67343,1.98482,1.01045,2.01041,0.00107238,0.00107238,0.00107238
14,726.238,2.19793,1.14552,2.01345,0.87033,0.81812,0.8941,0.64079,2.14971,1.10462,2.07248,0.00106577,0.00106577,0.00106577
15,777.487,2.21196,1.15615,2.01579,0.89924,0.84218,0.9218,0.65824,2.08208,1.05657,2.04424,0.00105866,0.00105866,0.00105866
16,828.609,2.17894,1.10057,1.98131,0.91533,0.86889,0.95133,0.67548,2.11653,0.97196,2.02082,0.00105106,0.00105106,0.00105106
17,879.756,2.18001,1.09636,1.99645,0.88366,0.83702,0.90058,0.65171,2.00429,1.13691,1.98836,0.00104298,0.00104298,0.00104298
18,931.227,2.15561,1.08541,1.99599,0.88763,0.86515,0.91638,0.66372,2.06303,0.97641,2.05162,0.00103442,0.00103442,0.00103442
19,982.775,2.13185,1.08732,1.99748,0.90235,0.85736,0.924,0.67985,1.97692,0.91776,2.03322,0.00102539,0.00102539,0.00102539
20,1034.44,2.12567,1.04475,1.98502,0.89993,0.91499,0.93465,0.68861,2.04357,0.97331,2.0353,0.0010159,0.0010159,0.0010159
21,1086.28,2.11712,1.03402,1.98519,0.89824,0.89509,0.93259,0.68361,1.98108,0.89788,2.04605,0.00100597,0.00100597,0.00100597
22,1137.84,2.07568,1.0025,1.9662,0.84845,0.91879,0.91681,0.68576,1.87092,0.92133,2.00716,0.000995597,0.000995597,0.000995597
23,1189.52,2.11355,1.00854,1.98792,0.91431,0.89639,0.94123,0.66985,2.07873,0.87713,2.01822,0.000984795,0.000984795,0.000984795
