epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1240.33,0.9497,0.48204,1.00504,0.90614,0.88733,0.91709,0.70327,0.93591,0.48671,1.05247,0.000714485,0.000714485,0.000714485
43,1269.45,0.94303,0.4785,0.99792,0.87836,0.93565,0.93197,0.7,0.97643,0.51792,1.0614,0.000697821,0.000697821,0.000697821
44,1298.54,0.94166,0.4716,1.00223,0.90658,0.8515,0.90721,0.69407,0.90693,0.58584,1.03436,0.000681022,0.000681022,0.000681022
45,1327.6,0.92453,0.46638,0.99876,0.88512,0.87915,0.91678,0.698,0.9342,0.54341,1.05415,0.000664104,0.000664104,0.000664104
46,1356.69,0.91985,0.4611,0.98731,0.89505,0.87747,0.92022,0.70675,0.95067,0.54685,1.06965,0.000647085,0.000647085,0.000647085
47,1385.54,0.92504,0.46427,0.99972,0.83935,0.89522,0.90737,0.68909,0.9193,0.66742,1.04655,0.000629981,0.000629981,0.000629981
48,1414.51,0.92259,0.46191,0.99235,0.85691,0.91411,0.93826,0.70596,0.91786,0.50401,1.04642,0.000612809,0.000612809,0.000612809
49,1443.47,0.92231,0.45334,0.98869,0.88571,0.92633,0.93372,0.70713,0.90641,0.50199,1.04776,0.000595586,0.000595586,0.000595586
50,1472.56,0.91771,0.45979,0.99238,0.92747,0.90422,0.94251,0.71595,0.98226,0.48331,1.08067,0.000578329,0.000578329,0.000578329
51,1501.6,0.91582,0.44845,0.991,0.89654,0.92511,0.93604,0.71019,0.93605,0.52811,1.05396,0.000561055,0.000561055,0.000561055
52,1530.87,0.91078,0.44968,0.98428,0.86817,0.93907,0.95742,0.70349,1.01136,0.48525,1.09333,0.000543781,0.000543781,0.000543781
53,1560.21,0.8955,0.44275,0.98264,0.84938,0.89968,0.89338,0.67363,0.96398,0.63548,1.06221,0.000526524,0.000526524,0.000526524
54,1589.63,0.90399,0.44113,0.98646,0.91144,0.89023,0.91405,0.68872,0.9563,0.65695,1.06668,0.000509301,0.000509301,0.000509301
55,1618.69,0.8995,0.4396,0.98287,0.88016,0.8954,0.92234,0.69491,0.99139,0.59261,1.09452,0.000492129,0.000492129,0.000492129
56,1648.01,0.89497,0.43366,0.97923,0.87053,0.88917,0.91162,0.69417,0.97647,0.62213,1.06833,0.000475025,0.000475025,0.000475025
57,1677.36,0.8846,0.43095,0.97533,0.92173,0.90673,0.93751,0.70343,0.9792,0.52059,1.08747,0.000458006,0.000458006,0.000458006
58,1707.09,0.88869,0.43478,0.97879,0.88859,0.90182,0.92537,0.70691,0.9628,0.52025,1.06841,0.000441088,0.000441088,0.000441088
59,1736.39,0.88006,0.42609,0.98027,0.91533,0.88395,0.94088,0.72431,0.93586,0.54724,1.0644,0.000424289,0.000424289,0.000424289
60,1765.59,0.8885,0.43016,0.98408,0.89097,0.91254,0.94617,0.71875,0.94752,0.53515,1.06114,0.000407625,0.000407625,0.000407625
61,1794.91,0.88734,0.42661,0.97931,0.88193,0.87925,0.91941,0.70662,0.92068,0.56168,1.04018,0.000391113,0.000391113,0.000391113
62,1824.53,0.87638,0.41668,0.97075,0.85114,0.87131,0.89828,0.69679,0.9258,0.60505,1.05863,0.000374768,0.000374768,0.000374768
63,1853.68,0.86894,0.41478,0.96731,0.90487,0.88392,0.9267,0.71102,0.94512,0.5192,1.07768,0.000358607,0.000358607,0.000358607
64,1882.6,0.86806,0.4215,0.97371,0.84392,0.96524,0.94841,0.7217,0.95226,0.47706,1.06923,0.000342646,0.000342646,0.000342646
65,1911.25,0.86919,0.41292,0.96993,0.91047,0.88978,0.941,0.71198,0.96211,0.56646,1.07946,0.0003269,0.0003269,0.0003269
66,1940.43,0.86143,0.41071,0.9747,0.86632,0.96188,0.94135,0.71187,0.95813,0.52286,1.09265,0.000311385,0.000311385,0.000311385
67,1969.2,0.86288,0.412,0.97327,0.83829,0.96242,0.92659,0.70705,0.94668,0.55854,1.08312,0.000296117,0.000296117,0.000296117
68,1998.16,0.85639,0.40675,0.96348,0.92037,0.93485,0.96263,0.73777,0.94249,0.46179,1.06796,0.00028111,0.00028111,0.00028111
69,2027.41,0.85204,0.40326,0.96494,0.84657,0.94872,0.93059,0.71676,0.95087,0.54266,1.06429,0.00026638,0.00026638,0.00026638
70,2056.49,0.85587,0.40483,0.96252,0.88004,0.94319,0.95422,0.72082,0.94897,0.49264,1.06743,0.00025194,0.00025194,0.00025194
71,2085.78,0.85164,0.39741,0.96147,0.88882,0.92081,0.95214,0.7244,0.93029,0.50549,1.05803,0.000237805,0.000237805,0.000237805
72,2115.02,0.84376,0.39441,0.95948,0.90219,0.92904,0.95051,0.71947,0.93914,0.53655,1.06297,0.00022399,0.00022399,0.00022399
73,2144.33,0.84877,0.39775,0.95978,0.87966,0.9333,0.93665,0.71848,0.94763,0.52952,1.06797,0.000210507,0.000210507,0.000210507
74,2173.98,0.84976,0.39677,0.96117,0.89894,0.92898,0.95318,0.72575,0.93184,0.49916,1.06923,0.00019737,0.00019737,0.00019737
75,2203.11,0.83246,0.39012,0.95863,0.87808,0.95255,0.95733,0.73206,0.92422,0.45349,1.07172,0.000184592,0.000184592,0.000184592
76,2231.79,0.8328,0.38822,0.9592,0.89109,0.94462,0.94647,0.72646,0.93268,0.51636,1.06687,0.000172185,0.000172185,0.000172185
77,2260.77,0.83323,0.38748,0.95484,0.87975,0.90341,0.93959,0.71449,0.94807,0.55096,1.07539,0.000160162,0.000160162,0.000160162
78,2289.86,0.83183,0.38693,0.96145,0.87671,0.90584,0.93346,0.70474,0.94895,0.5238,1.07495,0.000148535,0.000148535,0.000148535
79,2318.89,0.82204,0.38451,0.95054,0.93724,0.89249,0.94342,0.71504,0.95199,0.53754,1.07593,0.000137315,0.000137315,0.000137315
80,2348.02,0.82732,0.38271,0.95691,0.86931,0.92299,0.94039,0.71346,0.95967,0.52265,1.08514,0.000126513,0.000126513,0.000126513
81,2377.31,0.82665,0.3814,0.95721,0.85351,0.93598,0.93521,0.71116,0.93309,0.56721,1.07597,0.00011614,0.00011614,0.00011614
82,2406.94,0.81501,0.37933,0.95606,0.8397,0.93923,0.93493,0.71218,0.92943,0.55119,1.06988,0.000106206,0.000106206,0.000106206
83,2435.81,0.82166,0.38171,0.95617,0.84002,0.93984,0.92776,0.70882,0.94546,0.54875,1.07077,9.67211e-05,9.67211e-05,9.67211e-05
84,2465.1,0.81826,0.37965,0.94888,0.85107,0.91182,0.92393,0.70897,0.94419,0.55207,1.07325,8.76942e-05,8.76942e-05,8.76942e-05
85,2493.99,0.81902,0.37821,0.95706,0.85151,0.9193,0.93688,0.71534,0.95007,0.5265,1.07463,7.91345e-05,7.91345e-05,7.91345e-05
86,2523.11,0.80754,0.37538,0.94814,0.86503,0.92093,0.93822,0.71101,0.95194,0.51823,1.07788,7.10504e-05,7.10504e-05,7.10504e-05
87,2552.58,0.81285,0.37581,0.95113,0.87419,0.92572,0.94018,0.70685,0.94501,0.50666,1.07175,6.34499e-05,6.34499e-05,6.34499e-05
88,2581.92,0.80775,0.37317,0.94525,0.87117,0.92224,0.93487,0.70926,0.94601,0.55294,1.07366,5.63404e-05,5.63404e-05,5.63404e-05
89,2611.26,0.8089,0.37201,0.94943,0.86253,0.9283,0.93693,0.71129,0.94558,0.53305,1.07348,4.97291e-05,4.97291e-05,4.97291e-05
90,2640.54,0.79851,0.37058,0.94837,0.86068,0.94133,0.9431,0.71283,0.94625,0.49154,1.07788,4.36223e-05,4.36223e-05,4.36223e-05
91,2669.84,0.76721,0.34235,0.95202,0.89588,0.9061,0.93286,0.70376,0.94823,0.56015,1.08391,3.80262e-05,3.80262e-05,3.80262e-05
92,2698.39,0.76522,0.34218,0.95445,0.89686,0.90181,0.93219,0.7015,0.95132,0.57916,1.08627,3.29463e-05,3.29463e-05,3.29463e-05
93,2727.08,0.75924,0.34029,0.95226,0.90009,0.92477,0.94073,0.70356,0.95542,0.56859,1.08456,2.83875e-05,2.83875e-05,2.83875e-05
94,2755.62,0.75822,0.33845,0.9491,0.88564,0.92262,0.93691,0.7042,0.9526,0.57078,1.08191,2.43545e-05,2.43545e-05,2.43545e-05
95,2784.26,0.75633,0.33735,0.94971,0.88858,0.92287,0.93851,0.70493,0.95914,0.57014,1.08707,2.0851e-05,2.0851e-05,2.0851e-05
96,2812.87,0.75129,0.33584,0.94778,0.87743,0.91767,0.94006,0.70713,0.9563,0.55969,1.08539,1.78807e-05,1.78807e-05,1.78807e-05
97,2841.43,0.75877,0.33742,0.94833,0.88056,0.92003,0.93566,0.70224,0.9588,0.56784,1.09106,1.54465e-05,1.54465e-05,1.54465e-05
98,2870.06,0.75276,0.33559,0.9488,0.87817,0.92063,0.93678,0.70764,0.95686,0.56692,1.08828,1.35507e-05,1.35507e-05,1.35507e-05
