epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1379.75,1.97315,0.93767,1.85396,0.8704,0.92677,0.94647,0.69984,2.03222,0.8944,1.90074,0.000714485,0.000714485,0.000714485
43,1412.25,1.9664,0.94187,1.85087,0.9155,0.89973,0.93741,0.68377,2.08964,0.85164,1.90785,0.000697821,0.000697821,0.000697821
44,1444.97,1.94979,0.91596,1.84856,0.88309,0.94663,0.95222,0.70342,1.9636,0.82855,1.89199,0.000681022,0.000681022,0.000681022
45,1477.51,1.92705,0.91251,1.85433,0.91184,0.8803,0.95017,0.70545,1.95622,0.82444,1.87851,0.000664104,0.000664104,0.000664104
46,1510.25,1.92758,0.90375,1.83964,0.92653,0.92473,0.95648,0.70523,2.04455,0.89823,1.87666,0.000647085,0.000647085,0.000647085
47,1542.92,1.92764,0.89462,1.85357,0.88546,0.911,0.93533,0.69247,2.00875,0.85913,1.89522,0.000629981,0.000629981,0.000629981
48,1575.33,1.93831,0.90195,1.84707,0.85931,0.93185,0.93343,0.69014,1.97513,0.85636,1.86857,0.000612809,0.000612809,0.000612809
49,1608.18,1.94076,0.90347,1.84486,0.8585,0.91267,0.92266,0.70801,1.85538,0.97339,1.84095,0.000595586,0.000595586,0.000595586
50,1640.82,1.91411,0.89333,1.84201,0.88653,0.89735,0.94851,0.70576,1.99236,0.91749,1.88297,0.000578329,0.000578329,0.000578329
51,1673.71,1.90531,0.86605,1.8381,0.92276,0.9032,0.94901,0.70766,1.99686,0.83486,1.88672,0.000561055,0.000561055,0.000561055
52,1706.38,1.90807,0.87699,1.83052,0.90906,0.97272,0.94698,0.69941,1.97332,0.77876,1.87903,0.000543781,0.000543781,0.000543781
53,1739.01,1.87159,0.86195,1.8341,0.91758,0.93578,0.9462,0.69042,2.08847,0.79574,1.92711,0.000526524,0.000526524,0.000526524
54,1771.85,1.88763,0.8598,1.83443,0.90204,0.89822,0.94205,0.70446,1.93342,0.91558,1.87785,0.000509301,0.000509301,0.000509301
55,1804.64,1.89221,0.85443,1.82699,0.8729,0.95857,0.9429,0.69803,2.02162,0.80549,1.90663,0.000492129,0.000492129,0.000492129
56,1837.45,1.88278,0.84673,1.8282,0.92433,0.91969,0.96914,0.7322,1.90665,0.81159,1.86979,0.000475025,0.000475025,0.000475025
57,1870.25,1.85692,0.83428,1.82479,0.93735,0.93093,0.96226,0.71575,1.96962,0.7534,1.88391,0.000458006,0.000458006,0.000458006
58,1903.03,1.85741,0.83353,1.82321,0.89291,0.90963,0.94001,0.70756,1.90981,0.89746,1.86749,0.000441088,0.000441088,0.000441088
59,1935.72,1.8364,0.83239,1.82706,0.90643,0.90895,0.93389,0.71531,1.89726,0.77909,1.86145,0.000424289,0.000424289,0.000424289
60,1968.58,1.83876,0.83314,1.82493,0.8677,0.90142,0.92531,0.71102,1.87284,0.88957,1.85706,0.000407625,0.000407625,0.000407625
61,2001.52,1.84304,0.81908,1.81873,0.90191,0.87622,0.91829,0.70409,1.85468,1.10954,1.85436,0.000391113,0.000391113,0.000391113
62,2034.22,1.83842,0.81394,1.81607,0.8925,0.89036,0.9334,0.71869,1.82737,0.98016,1.85465,0.000374768,0.000374768,0.000374768
63,2066.89,1.81929,0.79694,1.80677,0.87775,0.92153,0.94422,0.71894,1.92364,0.82138,1.88013,0.000358607,0.000358607,0.000358607
64,2099.6,1.81599,0.80312,1.81383,0.90319,0.93534,0.95187,0.71833,1.89164,0.76648,1.87557,0.000342646,0.000342646,0.000342646
65,2132.46,1.8263,0.80086,1.80887,0.91658,0.91522,0.93476,0.70399,1.94572,0.8167,1.89453,0.0003269,0.0003269,0.0003269
66,2165.38,1.78889,0.78655,1.81267,0.88779,0.90047,0.93225,0.71196,1.89776,0.88462,1.8759,0.000311385,0.000311385,0.000311385
67,2198.12,1.79858,0.79808,1.81143,0.87549,0.89192,0.93045,0.70599,1.89947,0.91885,1.87484,0.000296117,0.000296117,0.000296117
68,2230.92,1.78679,0.78926,1.80554,0.91608,0.88274,0.93602,0.71422,1.87744,0.82012,1.86333,0.00028111,0.00028111,0.00028111
69,2263.72,1.77468,0.7835,1.80165,0.88889,0.92258,0.92204,0.70335,1.8613,0.80841,1.841,0.00026638,0.00026638,0.00026638
70,2296.36,1.78489,0.7807,1.7996,0.8982,0.92211,0.94401,0.71252,1.91494,0.80705,1.87044,0.00025194,0.00025194,0.00025194
71,2329.02,1.77216,0.76525,1.79477,0.8812,0.93894,0.93005,0.71082,1.91007,0.79875,1.87178,0.000237805,0.000237805,0.000237805
72,2361.98,1.75985,0.7564,1.79738,0.92077,0.88299,0.9514,0.72191,1.90111,0.82155,1.87067,0.00022399,0.00022399,0.00022399
73,2394.81,1.77726,0.76545,1.80003,0.89637,0.91635,0.93389,0.70183,1.9553,0.81141,1.88227,0.000210507,0.000210507,0.000210507
74,2427.65,1.76961,0.75709,1.79289,0.91172,0.90731,0.92872,0.70699,1.84259,0.92997,1.8583,0.00019737,0.00019737,0.00019737
75,2460.24,1.73147,0.74454,1.79305,0.9235,0.90755,0.94332,0.71428,1.89347,0.8442,1.86421,0.000184592,0.000184592,0.000184592
76,2493.01,1.73623,0.73982,1.78927,0.93306,0.90973,0.94433,0.71473,1.90034,0.73354,1.86683,0.000172185,0.000172185,0.000172185
77,2525.94,1.73053,0.74331,1.78162,0.92636,0.90844,0.94184,0.716,1.91796,0.74595,1.87632,0.000160162,0.000160162,0.000160162
78,2558.88,1.73741,0.74832,1.79518,0.95446,0.91526,0.94859,0.71537,1.93478,0.7354,1.88613,0.000148535,0.000148535,0.000148535
79,2591.84,1.72453,0.74273,1.78073,0.94735,0.92315,0.95679,0.72976,1.88101,0.80265,1.87278,0.000137315,0.000137315,0.000137315
80,2624.57,1.72368,0.73579,1.78814,0.95234,0.9166,0.94505,0.71024,1.94303,0.7124,1.88573,0.000126513,0.000126513,0.000126513
81,2657.12,1.70849,0.71961,1.78444,0.9438,0.91286,0.94763,0.71609,1.92415,0.74446,1.8892,0.00011614,0.00011614,0.00011614
82,2689.95,1.69266,0.72525,1.78378,0.95614,0.9048,0.94891,0.71986,1.90522,0.73847,1.87601,0.000106206,0.000106206,0.000106206
83,2722.36,1.70127,0.72569,1.78384,0.90889,0.94333,0.94505,0.72431,1.89611,0.75574,1.87738,9.67211e-05,9.67211e-05,9.67211e-05
84,2755.31,1.69098,0.72628,1.77734,0.89605,0.93668,0.94477,0.72153,1.88991,0.76983,1.86339,8.76942e-05,8.76942e-05,8.76942e-05
85,2788.25,1.69652,0.71841,1.78275,0.93931,0.89959,0.93992,0.70994,1.91921,0.7669,1.87799,7.91345e-05,7.91345e-05,7.91345e-05
86,2820.97,1.68317,0.71511,1.77373,0.91687,0.93996,0.94829,0.71728,1.91942,0.73213,1.87645,7.10504e-05,7.10504e-05,7.10504e-05
